机器人名称,感知_均值,行为_均值,综合_均值,developer,website
aerialbipedal,50.97,49.65,100.62,"Azumi Maekawa, Ryuma Niiyama, Msahiko Inami, Shunji Yamanaka, University of Tokyo",http://concrete.t.u-tokyo.ac.jp/en_2017/
Animated-SmartPhone-1,50.23,49.55,99.78,"Etienne Balit, Univ Grenoble Alpes, INRIA Grenoble",
hsrmobile,53,46.35,99.35,Toyota,https://www.toyota-global.com/innovation/partner_robot/
yumi,48.77,50.35,99.12,ABB Ltd.,https://new.abb.com/future/yumi
TJ-Bot,50.7,48.4,99.1,IBM,https://ibmtjbot.github.io/
Lego-boost,52.67,46.3,98.97,LEGO,https://www.lego.com/en-us/boost
adata,60.63,37.65,98.28,ADATA,https://www.adata.com/en/consumer/
Personal-Robot,47.13,50.75,97.88,Autonomous,https://www.autonomous.ai/personal-robot
Ollie,50.17,47.55,97.72,Sphero,http://www.sphero.com/ollie
Running-Man,54.03,42.85,96.88,Institute of Human-Machine Cognition,http://robots.ihmc.us/drc
ibotn,47.67,48.9,96.57,ibotn,hhttp://www.ibotn.com
domo,51.5,45.05,96.55,"Aaron Edsinger, Humanoid robotics group MIT",http://people.csail.mit.edu/edsinger/domo.htm
hub,50.13,46.15,96.28,LG,https://www.cnet.com/products/lg-hub-robot/preview/
eyePi,54.3,41.65,95.95,"University of Twente, Edwin Dertien",http://essay.utwente.nl/72331/
S-one,55.17,40.2,95.37,Schaft Robotics owned by Google,http://spectrum.ieee.org/automaton/robotics/humanoids/schaft-robot-company-bought-by-google-darpa-robotics-challenge-winner
Cassie,47.43,47.85,95.28,Agility robotics,http://www.agilityrobotics.com/#cover
Babyloid,50.77,44.3,95.07,Chokyu University,http://www.st.chukyo-u.ac.jp/z104123/research.html#
Ewya,46.57,48.15,94.72,Avatar Controls,https://www.avatarcontrols.com/
Mitra,48.53,45.35,93.88,Mitra,http://mitrarobot.com/
Keecker,49.47,42.7,92.17,Keecker,http://www.keecker.com/
telenoid,44.43,47.35,91.78,Osaka University & Advanced Telecommunications Research Institute International (ATR),http://telenoid-planning.jp/
HERB,50.5,40.05,90.55,Carneige Mellon University,http://www.roboticstoday.com/robots/herb
slate,49.13,41.25,90.38,Slate Robotics,https://slaterobots.com/tr1
kaspar,44.13,43.05,87.18,Kerstin Dautenhahn University of Hertforshire,http://www.herts.ac.uk/kaspar/meet-kaspar
snap-bot,43.87,43.25,87.12,SnapChat ,https://www.spectacles.com/map/
5e-Nanny-Bot,46.9,39.75,86.65,5 elements,http://5elementsrobotics.com/5enannybot/
UR3,44.13,42.2,86.33,Universal Robots,https://www.universal-robots.com/products/ur3-robot/
pillo,39.7,44.2,83.9,Pillo Health,https://www.pillohealth.com/
GoCart,43.47,39.7,83.17,YuJin Robot co.,http://gocart.yujinrobot.com/
Mung,50.53,32.4,82.93,Yonsei University and KAIST (Korean Advanced Institute of Science and Technology),http://delivery.acm.org/10.1145/1520000/1516304/p362-kim.pdf?ip=128.148.231.16&id=1516304&acc=ACTIVE%20SERVICE&key=7777116298C9657D%2EDD490426617BA903%2E4D4702B0C3E38B35%2E4D4702B0C3E38B35&CFID=992460963&CFTOKEN=72282087&__acm__=1507310255_4f6cc0de1236d878bf5b95a5119d1b3a
3e-c18,49.9,32.45,82.35,Honda,https://world.honda.com/CES/2018/detail/003/
haru,42,39.75,81.75,Honda Research Institute,https://spectrum.ieee.org/automaton/robotics/home-robots/haru-an-experimental-social-robot-from-honda-research
Franka-Emika,41,38.75,79.75,Franka Emika,https://www.franka.de/
Mykie,44.07,34.1,78.17,Seimens,https://www.bsh-group.com/newsroom/press-releases/mykie-a-personal-assistant-for-the-kitchen
muu,50.1,27.75,77.85,Christopher Bartneck in collaboration with Philips Electronics,http://www.bartneck.de/2002/09/01/emuu/
Cody,43.3,34.45,77.75,Georgia Tech Healthcare Robotics Lab,http://pwp.gatech.edu/hrl/robotic-nurse-assistant/
quori,39.93,36.75,76.68,quori,http://www.quori.org/
MiRAE,37.8,38.25,76.05,R House Lab,http://r-house.soic.indiana.edu/projects/mirae.html
sphero,34.37,35.9,70.27,Sphero,http://www.sphero.com/sphero
Sociable-Trashbox,36.73,28.5,65.23,"Interaction Communication Design Lab, Yuto Yamaji",https://www.icd.cs.tut.ac.jp/projects/stb_en.html
Clocky,24.7,27.45,52.15,Nanda Home,http://www.nandahome.com/
